review_id,rating,review
1,5,"Great application, very easy to use"
2,4,"Very useful and works smoothly"
3,1,"Constant crashes whenever I open the app"
4,2,"Too many advertisements"
5,5,"Excellent application and great design"
6,2,"The app is slow and keeps freezing"
7,4,"Really useful features"
8,1,"Cannot login after the latest update"
9,5,"Fast, simple and reliable"
10,3,"It works but could be improved"
11,5,"Amazing app with a clean interface"
12,1,"Crashes frequently and loses my data"
13,2,"Ads appear too often and interrupt usage"
14,4,"Good app, but notifications can be annoying"
15,5,"Very helpful and easy to navigate"
16,2,"Slow loading and sometimes freezes"
17,3,"Average experience, nothing special"
18,4,"Useful app with good performance"
19,1,"The latest update broke the login feature"
20,5,"Excellent features and very reliable"
